client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0002_01,0,,405,test,17.073170840740204,3.772839069366455
f0029_05,0,,248,test,20.000000298023224,3.563278913497925
f0047_00,0,,396,test,25.0,3.586257219314575
f0094_41,0,,172,test,0.0,4.749579906463623
f0095_41,0,,404,test,17.073170840740204,4.007917881011963
f0132_17,0,,349,test,25.714287161827087,3.9584951400756836
f0202_09,0,,343,test,42.85714328289032,3.187474250793457
f0210_17,0,,354,test,22.22222238779068,3.661203145980835
f0221_37,0,,346,test,40.00000059604645,3.233185291290283
f0236_17,0,,215,test,36.36363744735718,3.0665647983551025
f0243_29,0,,403,test,26.829269528388977,3.594943046569824
f0254_46,0,,430,test,30.2325576543808,3.4438483715057373
f0283_31,0,,305,test,16.129031777381897,4.13602352142334
f0294_18,0,,133,test,35.71428656578064,3.3298094272613525
f0295_17,0,,383,test,30.769231915473938,3.3143787384033203
f0315_31,0,,426,test,23.255814611911774,3.8652350902557373
f0332_15,0,,393,test,20.000000298023224,3.989835262298584
f0343_35,0,,366,test,35.13513505458832,3.021350860595703
f0356_41,0,,370,test,18.918919563293457,3.7504425048828125
f0374_13,0,,384,test,17.94871836900711,3.6978721618652344
f0410_43,0,,51,test,0.0,5.035302639007568
f0426_47,0,,178,test,16.66666716337204,4.511976718902588
f0437_05,0,,360,test,13.88888955116272,4.289701461791992
f0440_17,0,,319,test,28.125,3.817026376724243
f0454_20,0,,359,test,5.55555559694767,4.481803894042969
f0462_07,0,,265,test,29.629629850387573,3.548417091369629
f0488_39,0,,386,test,23.076923191547394,3.579232931137085
f0505_13,0,,244,test,23.999999463558197,3.8504412174224854
f0512_15,0,,342,test,31.42857253551483,3.372704029083252
f0527_23,0,,319,test,21.875,3.599790573120117
f0561_12,0,,345,test,25.714287161827087,3.5123891830444336
f0562_31,0,,83,test,66.66666865348816,1.4604657888412476
f0591_27,0,,327,test,33.33333432674408,3.2942469120025635
f0599_04,0,,252,test,19.23076957464218,3.7433230876922607
f0619_33,0,,244,test,20.000000298023224,3.975167751312256
f0631_03,0,,390,test,25.641027092933655,3.604672908782959
f0643_23,0,,366,test,18.918919563293457,3.752741575241089
f0656_11,0,,303,test,22.580644488334656,4.190518379211426
f0670_02,0,,245,test,31.999999284744263,3.2044739723205566
f0680_28,0,,93,test,0.0,4.809065341949463
f0681_47,0,,361,test,21.621622145175934,3.9754371643066406
f0691_00,0,,235,test,20.83333283662796,4.196577072143555
f0717_46,0,,392,test,22.499999403953552,3.7745139598846436
f0781_31,0,,301,test,29.032257199287415,3.4280307292938232
f0793_02,0,,358,test,19.44444477558136,4.1711578369140625
f0835_08,0,,332,test,29.411765933036804,3.8306031227111816
f0870_31,0,,293,test,23.333333432674408,3.8943722248077393
f0871_23,0,,247,test,7.999999821186066,4.741772651672363
f0897_19,0,,254,test,7.6923079788684845,4.4770731925964355
f0903_42,0,,49,test,0.0,5.387481212615967
f0909_04,0,,271,test,25.0,3.6128180027008057
f0939_32,0,,324,test,42.424243688583374,3.2660443782806396
f0947_41,0,,329,test,30.30303120613098,3.8300085067749023
f0949_02,0,,17,test,0.0,5.313547134399414
f0954_02,0,,289,test,17.241379618644714,3.8217978477478027
f0984_25,0,,347,test,11.428571492433548,3.9008209705352783
f1055_16,0,,277,test,17.85714328289032,3.8627891540527344
f1072_34,0,,216,test,31.81818127632141,3.29994797706604
f1076_12,0,,273,test,14.28571492433548,4.172144889831543
f1089_04,0,,367,test,21.621622145175934,3.6854116916656494
f1108_14,0,,286,test,34.48275923728943,3.348004102706909
f1111_02,0,,370,test,21.621622145175934,3.6436610221862793
f1120_05,0,,401,test,29.26829159259796,3.5878090858459473
f1150_03,0,,238,test,33.33333432674408,3.0581748485565186
f1181_27,0,,135,test,0.0,4.665167331695557
f1185_47,0,,213,test,45.45454680919647,2.991598606109619
f1221_17,0,,138,test,42.85714328289032,3.18691086769104
f1231_36,0,,334,test,23.52941185235977,3.5388858318328857
f1266_29,0,,9,test,0.0,5.411660194396973
f1275_19,0,,301,test,32.258063554763794,3.42219614982605
f1282_39,0,,396,test,12.5,4.162961483001709
f1289_06,0,,302,test,32.258063554763794,3.3381776809692383
f1317_00,0,,237,test,37.5,3.008565902709961
f1351_29,0,,34,test,0.0,4.666877746582031
f1354_22,0,,337,test,20.588235557079315,3.6960933208465576
f1358_13,0,,147,test,40.00000059604645,3.2528162002563477
f1372_35,0,,344,test,37.142857909202576,3.128122329711914
f1382_07,0,,376,test,28.947368264198303,3.4873881340026855
f1417_14,0,,103,test,54.54545617103577,1.9982882738113403
f1422_18,0,,335,test,26.470589637756348,3.567793607711792
f1444_03,0,,340,test,14.705882966518402,3.9223668575286865
f1462_01,0,,302,test,22.580644488334656,3.8311080932617188
f1501_00,0,,161,test,52.941179275512695,1.9838037490844727
f1507_20,0,,150,test,46.666666865348816,2.8329758644104004
f1510_28,0,,174,test,72.22222089767456,1.648470163345337
f1513_07,0,,119,test,58.33333134651184,1.3643674850463867
f1579_11,0,,173,test,66.66666865348816,2.1135685443878174
f1595_34,0,,160,test,75.0,1.883589267730713
f1606_19,0,,152,test,62.5,1.8782975673675537
f1623_09,0,,108,test,45.45454680919647,3.1784112453460693
f1624_03,0,,110,test,81.81818127632141,1.5575881004333496
f1638_14,0,,164,test,41.17647111415863,3.009242534637451
f1664_04,0,,153,test,37.5,2.3424911499023438
f1695_12,0,,167,test,82.35294222831726,1.7036981582641602
f1704_29,0,,176,test,38.88888955116272,2.9137372970581055
f1724_42,0,,55,test,66.66666865348816,2.568211317062378
f1767_34,0,,51,test,50.0,2.2909128665924072
f1770_47,0,,154,test,43.75,2.962268590927124
f1782_05,0,,133,test,71.42857313156128,1.7589590549468994
f1784_17,0,,156,test,50.0,2.1795878410339355
f1787_36,0,,151,test,75.0,2.0182747840881348
f1790_11,0,,143,test,66.66666865348816,1.421364188194275
f1802_35,0,,109,test,45.45454680919647,2.7546186447143555
f1858_21,0,,4,test,0.0,2.2973833084106445
f1865_30,0,,150,test,26.66666805744171,3.8528053760528564
f1906_16,0,,173,test,72.22222089767456,1.7171611785888672
f1911_44,0,,124,test,53.84615659713745,2.341691732406616
f1921_33,0,,16,test,100.0,1.0720033645629883
f1934_10,0,,140,test,50.0,2.062490224838257
f1938_21,0,,145,test,66.66666865348816,1.794913649559021
f1956_19,0,,165,test,76.47058963775635,1.740391731262207
