client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0002_01,0,,405,test,17.073170840740204,3.7293567657470703
f0029_05,0,,248,test,31.999999284744263,3.5013794898986816
f0047_00,0,,396,test,27.500000596046448,3.509803295135498
f0094_41,0,,172,test,0.0,4.699983596801758
f0095_41,0,,404,test,19.512194395065308,3.925290107727051
f0132_17,0,,349,test,25.714287161827087,3.9863617420196533
f0202_09,0,,343,test,42.85714328289032,3.152571201324463
f0210_17,0,,354,test,19.44444477558136,3.6194140911102295
f0221_37,0,,346,test,37.142857909202576,3.197798490524292
f0236_17,0,,215,test,36.36363744735718,3.0136590003967285
f0243_29,0,,403,test,26.829269528388977,3.5129528045654297
f0254_46,0,,430,test,30.2325576543808,3.3907382488250732
f0283_31,0,,305,test,16.129031777381897,4.149576187133789
f0294_18,0,,133,test,35.71428656578064,3.2940945625305176
f0295_17,0,,383,test,30.769231915473938,3.2303152084350586
f0315_31,0,,426,test,23.255814611911774,3.808605194091797
f0332_15,0,,393,test,20.000000298023224,3.919626235961914
f0343_35,0,,366,test,32.43243098258972,2.9837238788604736
f0356_41,0,,370,test,21.621622145175934,3.702915906906128
f0374_13,0,,384,test,17.94871836900711,3.671356201171875
f0410_43,0,,51,test,0.0,4.939568042755127
f0426_47,0,,178,test,22.22222238779068,4.5238356590271
f0437_05,0,,360,test,13.88888955116272,4.208619117736816
f0440_17,0,,319,test,28.125,3.7932212352752686
f0454_20,0,,359,test,8.33333358168602,4.421861171722412
f0462_07,0,,265,test,29.629629850387573,3.504033327102661
f0488_39,0,,386,test,25.641027092933655,3.5143394470214844
f0505_13,0,,244,test,23.999999463558197,3.820734977722168
f0512_15,0,,342,test,31.42857253551483,3.321850061416626
f0527_23,0,,319,test,25.0,3.523533821105957
f0561_12,0,,345,test,25.714287161827087,3.4110424518585205
f0562_31,0,,83,test,66.66666865348816,1.4305425882339478
f0591_27,0,,327,test,33.33333432674408,3.2269279956817627
f0599_04,0,,252,test,15.384615957736969,3.6899287700653076
f0619_33,0,,244,test,20.000000298023224,3.9516024589538574
f0631_03,0,,390,test,28.205129504203796,3.535132884979248
f0643_23,0,,366,test,18.918919563293457,3.671077013015747
f0656_11,0,,303,test,19.354838132858276,4.201624870300293
f0670_02,0,,245,test,31.999999284744263,3.131166458129883
f0680_28,0,,93,test,0.0,4.810446739196777
f0681_47,0,,361,test,18.918919563293457,3.9622464179992676
f0691_00,0,,235,test,16.66666716337204,4.081676483154297
f0717_46,0,,392,test,22.499999403953552,3.6984353065490723
f0781_31,0,,301,test,29.032257199287415,3.3706178665161133
f0793_02,0,,358,test,19.44444477558136,4.110063552856445
f0835_08,0,,332,test,32.35294222831726,3.7605936527252197
f0870_31,0,,293,test,23.333333432674408,3.8406004905700684
f0871_23,0,,247,test,7.999999821186066,4.721953392028809
f0897_19,0,,254,test,3.8461539894342422,4.438223838806152
f0903_42,0,,49,test,0.0,5.29360818862915
f0909_04,0,,271,test,25.0,3.5402939319610596
f0939_32,0,,324,test,42.424243688583374,3.185750961303711
