client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0002_01,0,,405,test,17.073170840740204,3.728654384613037
f0029_05,0,,248,test,28.00000011920929,3.461611270904541
f0047_00,0,,396,test,27.500000596046448,3.4833149909973145
f0094_41,0,,172,test,0.0,4.613386154174805
f0095_41,0,,404,test,17.073170840740204,3.937880277633667
f0132_17,0,,349,test,25.714287161827087,3.8998019695281982
f0202_09,0,,343,test,42.85714328289032,3.1135597229003906
f0210_17,0,,354,test,25.0,3.582706928253174
f0221_37,0,,346,test,40.00000059604645,3.1383731365203857
f0236_17,0,,215,test,36.36363744735718,3.0088999271392822
f0243_29,0,,403,test,29.26829159259796,3.4847843647003174
f0254_46,0,,430,test,30.2325576543808,3.3869998455047607
f0283_31,0,,305,test,16.129031777381897,4.285637378692627
f0294_18,0,,133,test,35.71428656578064,3.2391014099121094
f0295_17,0,,383,test,30.769231915473938,3.1860568523406982
f0315_31,0,,426,test,23.255814611911774,3.831571340560913
f0332_15,0,,393,test,22.499999403953552,3.8999481201171875
f0343_35,0,,366,test,35.13513505458832,2.9096076488494873
f0356_41,0,,370,test,16.21621549129486,3.7046661376953125
f0374_13,0,,384,test,20.512820780277252,3.641792058944702
f0410_43,0,,51,test,0.0,4.975847244262695
f0426_47,0,,178,test,22.22222238779068,4.447381973266602
f0437_05,0,,360,test,13.88888955116272,4.216588973999023
f0440_17,0,,319,test,28.125,3.728966236114502
f0454_20,0,,359,test,8.33333358168602,4.393238544464111
f0462_07,0,,265,test,29.629629850387573,3.4460902214050293
f0488_39,0,,386,test,23.076923191547394,3.5011072158813477
f0505_13,0,,244,test,23.999999463558197,3.809680700302124
f0512_15,0,,342,test,31.42857253551483,3.2733516693115234
f0527_23,0,,319,test,25.0,3.4997055530548096
f0561_12,0,,345,test,22.857142984867096,3.3444700241088867
f0562_31,0,,83,test,66.66666865348816,1.4307963848114014
f0591_27,0,,327,test,33.33333432674408,3.2034573554992676
f0599_04,0,,252,test,19.23076957464218,3.610293388366699
f0619_33,0,,244,test,20.000000298023224,3.8854827880859375
f0631_03,0,,390,test,28.205129504203796,3.508837938308716
