client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0002_01,0,,405,test,17.073170840740204,3.7755725383758545
f0029_05,0,,248,test,31.999999284744263,3.4568543434143066
f0047_00,0,,396,test,27.500000596046448,3.5194733142852783
f0094_41,0,,172,test,0.0,4.687942028045654
f0095_41,0,,404,test,17.073170840740204,3.96417236328125
f0132_17,0,,349,test,25.714287161827087,3.934040069580078
f0202_09,0,,343,test,42.85714328289032,3.149035930633545
f0210_17,0,,354,test,22.22222238779068,3.6086742877960205
f0221_37,0,,346,test,37.142857909202576,3.2065815925598145
f0236_17,0,,215,test,36.36363744735718,3.042924642562866
f0243_29,0,,403,test,29.26829159259796,3.5207176208496094
f0254_46,0,,430,test,32.55814015865326,3.4050066471099854
f0283_31,0,,305,test,16.129031777381897,4.184942245483398
f0294_18,0,,133,test,35.71428656578064,3.2850868701934814
f0295_17,0,,383,test,30.769231915473938,3.259819269180298
f0315_31,0,,426,test,23.255814611911774,3.831634283065796
f0332_15,0,,393,test,22.499999403953552,3.943324327468872
f0343_35,0,,366,test,35.13513505458832,2.9562652111053467
f0356_41,0,,370,test,16.21621549129486,3.7479944229125977
f0374_13,0,,384,test,17.94871836900711,3.6643738746643066
f0410_43,0,,51,test,0.0,4.962109088897705
f0426_47,0,,178,test,16.66666716337204,4.498281955718994
f0437_05,0,,360,test,13.88888955116272,4.227865219116211
f0440_17,0,,319,test,28.125,3.7279787063598633
f0454_20,0,,359,test,5.55555559694767,4.442902088165283
f0462_07,0,,265,test,29.629629850387573,3.486119270324707
f0488_39,0,,386,test,23.076923191547394,3.5640344619750977
f0505_13,0,,244,test,23.999999463558197,3.8123865127563477
f0512_15,0,,342,test,31.42857253551483,3.3458774089813232
f0527_23,0,,319,test,21.875,3.5622377395629883
f0561_12,0,,345,test,22.857142984867096,3.4129176139831543
f0562_31,0,,83,test,55.55555820465088,1.4334107637405396
f0591_27,0,,327,test,33.33333432674408,3.247438669204712
f0599_04,0,,252,test,19.23076957464218,3.637239933013916
f0619_33,0,,244,test,20.000000298023224,3.936455011367798
f0631_03,0,,390,test,30.769231915473938,3.5421769618988037
f0643_23,0,,366,test,18.918919563293457,3.7099382877349854
f0656_11,0,,303,test,22.580644488334656,4.146276473999023
f0670_02,0,,245,test,31.999999284744263,3.1713027954101562
f0680_28,0,,93,test,0.0,4.822579383850098
f0681_47,0,,361,test,21.621622145175934,3.93464994430542
