client_id,round_number,hierarchy,num_samples,set,accuracy,loss
10007,0,,20,test,50.0,0.5938119292259216
10026,0,,14,test,100.0,0.6118154525756836
10120,0,,20,test,100.0,0.5934537649154663
10125,0,,29,test,100.0,0.7012525200843811
10137,0,,5,test,0.0,0.6713382601737976
10143,0,,30,test,33.33333432674408,0.6090404987335205
1038,0,,20,test,0.0,0.6825717687606812
1051,0,,30,test,66.66666865348816,0.5984463691711426
1053,0,,11,test,50.0,0.6414677500724792
1087,0,,19,test,100.0,0.5249073505401611
1106,0,,18,test,100.0,0.603461742401123
1125,0,,24,test,0.0,0.6436612606048584
114,0,,30,test,66.66666865348816,0.6777811646461487
1170,0,,30,test,33.33333432674408,0.6835289001464844
1177,0,,19,test,50.0,0.7738863229751587
1198,0,,30,test,100.0,0.7353057265281677
1201,0,,30,test,100.0,0.5701623558998108
1242,0,,9,test,0.0,0.6632655262947083
1248,0,,18,test,100.0,0.5737881660461426
1254,0,,8,test,100.0,0.7153543829917908
1255,0,,21,test,33.33333432674408,0.6112679839134216
1274,0,,20,test,50.0,0.613662600517273
1289,0,,30,test,66.66666865348816,0.5681368708610535
129,0,,24,test,100.0,0.7222550511360168
1320,0,,20,test,50.0,0.6077769994735718
133,0,,27,test,33.33333432674408,0.5734185576438904
1368,0,,30,test,33.33333432674408,0.6306325793266296
1399,0,,21,test,66.66666865348816,0.7547004222869873
1403,0,,22,test,66.66666865348816,0.6278104186058044
1417,0,,20,test,0.0,0.6531473398208618
1423,0,,30,test,66.66666865348816,0.5571262240409851
1427,0,,9,test,100.0,0.6653128862380981
1499,0,,30,test,66.66666865348816,0.5114300847053528
1513,0,,30,test,0.0,0.6894469857215881
1546,0,,17,test,0.0,0.7106436491012573
1549,0,,30,test,66.66666865348816,0.5724627375602722
1641,0,,30,test,0.0,0.6165263056755066
1694,0,,22,test,66.66666865348816,0.5864147543907166
1699,0,,25,test,66.66666865348816,0.6706508994102478
1713,0,,30,test,33.33333432674408,0.5562514662742615
1720,0,,20,test,50.0,0.5652486085891724
1725,0,,30,test,66.66666865348816,0.7478375434875488
173,0,,24,test,0.0,0.6226556301116943
174,0,,28,test,33.33333432674408,0.6939224600791931
1742,0,,23,test,66.66666865348816,0.650357723236084
1745,0,,17,test,100.0,0.49434757232666016
1749,0,,30,test,66.66666865348816,0.6401023268699646
175,0,,16,test,100.0,0.5140045285224915
1753,0,,22,test,33.33333432674408,0.6398923397064209
1765,0,,14,test,50.0,0.7721884250640869
1807,0,,30,test,100.0,0.6250316500663757
1813,0,,21,test,100.0,0.5065747499465942
1851,0,,21,test,66.66666865348816,0.7189328074455261
1865,0,,19,test,50.0,0.6501889228820801
1872,0,,19,test,50.0,0.7464214563369751
1887,0,,24,test,100.0,0.6700608134269714
1903,0,,30,test,100.0,0.5941869616508484
1909,0,,13,test,50.0,0.627864420413971
1917,0,,6,test,100.0,0.5642602443695068
1935,0,,18,test,100.0,0.6311460733413696
1947,0,,30,test,0.0,0.6538252234458923
1969,0,,21,test,100.0,0.5473293662071228
1981,0,,16,test,0.0,0.6528261303901672
2007,0,,20,test,50.0,0.6514396071434021
2015,0,,30,test,33.33333432674408,0.6389265656471252
2053,0,,20,test,50.0,0.6517848968505859
2075,0,,20,test,0.0,0.5581763982772827
2091,0,,7,test,0.0,0.9171125292778015
210,0,,19,test,100.0,0.6698355674743652
2136,0,,30,test,0.0,0.6654438376426697
2151,0,,15,test,50.0,0.6243176460266113
2152,0,,25,test,33.33333432674408,0.6250839829444885
2163,0,,25,test,0.0,0.8634433150291443
2197,0,,20,test,50.0,0.5772366523742676
2262,0,,16,test,100.0,0.71842360496521
2266,0,,21,test,33.33333432674408,0.6556031107902527
2268,0,,29,test,100.0,0.7272889018058777
2274,0,,18,test,50.0,0.6697024703025818
233,0,,20,test,50.0,0.7656059861183167
2347,0,,17,test,50.0,0.7720557451248169
2358,0,,20,test,100.0,0.6875073909759521
2414,0,,28,test,33.33333432674408,0.6872611045837402
2465,0,,16,test,50.0,0.5520241260528564
2480,0,,24,test,33.33333432674408,0.5848694443702698
2488,0,,6,test,0.0,0.6443895101547241
2505,0,,25,test,0.0,0.7416957020759583
2528,0,,21,test,33.33333432674408,0.6955593228340149
2530,0,,21,test,0.0,0.6361393928527832
2568,0,,21,test,33.33333432674408,0.5787344574928284
2592,0,,19,test,100.0,0.43736183643341064
2606,0,,22,test,0.0,0.7888858914375305
2622,0,,20,test,100.0,0.681384801864624
2630,0,,14,test,100.0,0.6440896987915039
2638,0,,22,test,66.66666865348816,0.764204740524292
271,0,,20,test,50.0,0.5499756932258606
2717,0,,21,test,0.0,0.6610944271087646
2741,0,,5,test,100.0,0.6318018436431885
2773,0,,23,test,0.0,0.7102394104003906
2812,0,,21,test,0.0,0.5621938705444336
2824,0,,24,test,0.0,0.6722878813743591
2828,0,,29,test,33.33333432674408,0.589463472366333
2845,0,,25,test,0.0,0.6789782047271729
2846,0,,30,test,0.0,0.7352409958839417
2904,0,,14,test,50.0,0.4935629367828369
2933,0,,5,test,100.0,0.6795697808265686
2934,0,,20,test,50.0,0.7102206945419312
2935,0,,28,test,100.0,0.6996610164642334
294,0,,20,test,50.0,0.606682538986206
2951,0,,13,test,100.0,0.6873390674591064
296,0,,21,test,33.33333432674408,0.6358614563941956
297,0,,20,test,50.0,0.5679044723510742
2996,0,,30,test,100.0,0.7528533935546875
302,0,,23,test,66.66666865348816,0.5820766687393188
3021,0,,27,test,66.66666865348816,0.6272750496864319
3042,0,,21,test,0.0,0.7577051520347595
3052,0,,30,test,33.33333432674408,0.6899340152740479
3068,0,,27,test,100.0,0.6691401600837708
309,0,,12,test,100.0,0.6417001485824585
3110,0,,8,test,100.0,0.5089341998100281
3130,0,,30,test,0.0,0.86334228515625
3139,0,,5,test,0.0,0.5912444591522217
3148,0,,30,test,33.33333432674408,0.6612952351570129
316,0,,19,test,100.0,0.5385081768035889
3175,0,,30,test,100.0,0.7655286192893982
3203,0,,30,test,100.0,0.6455896496772766
3268,0,,29,test,0.0,0.6609174609184265
3279,0,,30,test,100.0,0.6386563181877136
3289,0,,21,test,0.0,0.5396491885185242
3290,0,,15,test,100.0,0.500454843044281
3323,0,,20,test,0.0,0.619931697845459
3330,0,,30,test,100.0,0.818584144115448
3349,0,,14,test,0.0,0.7402745485305786
3390,0,,20,test,50.0,0.6670674085617065
3391,0,,21,test,33.33333432674408,0.6626908183097839
3399,0,,15,test,50.0,0.6577557325363159
3420,0,,18,test,0.0,0.684508204460144
3451,0,,5,test,0.0,0.6849235892295837
347,0,,10,test,100.0,0.5628011226654053
3478,0,,30,test,66.66666865348816,0.5749921798706055
3495,0,,20,test,100.0,0.8103830814361572
3500,0,,30,test,0.0,0.6633979678153992
3535,0,,21,test,66.66666865348816,0.6897075176239014
3540,0,,29,test,0.0,0.6899890303611755
3573,0,,24,test,33.33333432674408,0.664426326751709
3575,0,,30,test,100.0,0.685993492603302
3586,0,,24,test,33.33333432674408,0.6331236362457275
3588,0,,21,test,66.66666865348816,0.7008065581321716
3618,0,,20,test,100.0,0.8531895875930786
3642,0,,14,test,100.0,0.7396003603935242
3647,0,,21,test,0.0,0.6378977298736572
3654,0,,16,test,50.0,0.6151304841041565
3676,0,,25,test,100.0,0.5331948399543762
370,0,,29,test,100.0,0.5367791056632996
3709,0,,6,test,100.0,0.5305722951889038
3722,0,,19,test,50.0,0.5880289077758789
3727,0,,30,test,100.0,0.7001256942749023
3748,0,,15,test,0.0,0.6438732147216797
3750,0,,22,test,33.33333432674408,0.5583948493003845
3815,0,,19,test,100.0,0.5869618654251099
3818,0,,6,test,0.0,0.6892160773277283
3834,0,,16,test,0.0,0.7675361037254333
3838,0,,9,test,100.0,0.6527513265609741
3918,0,,22,test,100.0,0.6057489514350891
3921,0,,20,test,100.0,0.6094422936439514
3923,0,,29,test,66.66666865348816,0.6602681279182434
394,0,,30,test,33.33333432674408,0.630213737487793
3945,0,,13,test,100.0,0.607162594795227
395,0,,30,test,66.66666865348816,0.7374038100242615
3966,0,,24,test,33.33333432674408,0.6508570313453674
3981,0,,30,test,33.33333432674408,0.6245785355567932
3997,0,,23,test,0.0,0.6343064308166504
4,0,,22,test,33.33333432674408,0.6414053440093994
4001,0,,20,test,100.0,0.7337830066680908
4011,0,,17,test,100.0,0.5549424886703491
4071,0,,10,test,0.0,0.7734745740890503
4082,0,,20,test,50.0,0.6380003690719604
4095,0,,15,test,100.0,0.5142209529876709
4096,0,,16,test,50.0,0.6023110151290894
4097,0,,13,test,50.0,0.6137087345123291
4118,0,,7,test,0.0,0.8648112416267395
4128,0,,11,test,50.0,0.5491095781326294
4144,0,,24,test,100.0,0.6477577090263367
4145,0,,15,test,0.0,0.8977084159851074
4184,0,,6,test,100.0,0.6981915235519409
4185,0,,12,test,50.0,0.733553946018219
4195,0,,14,test,50.0,0.5339578986167908
425,0,,28,test,100.0,0.6497873663902283
4276,0,,30,test,66.66666865348816,0.489908367395401
4279,0,,14,test,50.0,0.7380488514900208
4310,0,,30,test,100.0,0.5845007300376892
432,0,,15,test,0.0,0.5956606268882751
436,0,,28,test,100.0,0.6004778742790222
